OP,GPU_num,GPU_used,data_size(B),Bandwidth(GB/s)
all_reduce_perf,1,0,2147483648,0.00
all_reduce_perf,1,1,2147483648,0.00
all_reduce_perf,1,2,2147483648,0.00
all_reduce_perf,1,3,2147483648,0.00
all_reduce_perf,1,4,2147483648,0.00
all_reduce_perf,1,5,2147483648,0.00
all_reduce_perf,1,6,2147483648,0.00
all_reduce_perf,1,7,2147483648,0.00
all_reduce_perf,2,01,2147483648,340.22
all_reduce_perf,2,02,2147483648,339.84
all_reduce_perf,2,03,2147483648,340.45
all_reduce_perf,2,04,2147483648,342.43
all_reduce_perf,2,05,2147483648,341.27
all_reduce_perf,2,06,2147483648,338.93
all_reduce_perf,2,07,2147483648,341.43
all_reduce_perf,2,12,2147483648,340.93
all_reduce_perf,2,13,2147483648,342.41
all_reduce_perf,2,14,2147483648,339.55
all_reduce_perf,2,15,2147483648,341.08
all_reduce_perf,2,16,2147483648,340.04
all_reduce_perf,2,17,2147483648,341.27
all_reduce_perf,2,23,2147483648,339.64
all_reduce_perf,2,24,2147483648,338.62
all_reduce_perf,2,25,2147483648,338.98
all_reduce_perf,2,26,2147483648,338.68
all_reduce_perf,2,27,2147483648,338.46
all_reduce_perf,2,34,2147483648,340.71
all_reduce_perf,2,35,2147483648,340.39
all_reduce_perf,2,36,2147483648,341.23
all_reduce_perf,2,37,2147483648,342.66
all_reduce_perf,2,45,2147483648,339.32
all_reduce_perf,2,46,2147483648,339.10
all_reduce_perf,2,47,2147483648,342.21
all_reduce_perf,2,56,2147483648,339.67
all_reduce_perf,2,57,2147483648,339.88
all_reduce_perf,2,67,2147483648,341.51
all_reduce_perf,3,012,2147483648,356.12
all_reduce_perf,3,013,2147483648,355.16
all_reduce_perf,3,014,2147483648,356.04
all_reduce_perf,3,015,2147483648,355.16
all_reduce_perf,3,016,2147483648,355.40
all_reduce_perf,3,017,2147483648,355.83
all_reduce_perf,3,023,2147483648,356.13
all_reduce_perf,3,024,2147483648,356.19
all_reduce_perf,3,025,2147483648,356.08
all_reduce_perf,3,026,2147483648,354.24
all_reduce_perf,3,027,2147483648,356.14
all_reduce_perf,3,034,2147483648,355.20
all_reduce_perf,3,035,2147483648,356.03
all_reduce_perf,3,036,2147483648,355.10
all_reduce_perf,3,037,2147483648,355.83
all_reduce_perf,3,045,2147483648,355.44
all_reduce_perf,3,046,2147483648,356.01
all_reduce_perf,3,047,2147483648,356.54
all_reduce_perf,3,056,2147483648,355.10
all_reduce_perf,3,057,2147483648,355.33
all_reduce_perf,3,067,2147483648,355.91
all_reduce_perf,3,123,2147483648,356.56
all_reduce_perf,3,124,2147483648,355.28
all_reduce_perf,3,125,2147483648,355.95
all_reduce_perf,3,126,2147483648,356.34
all_reduce_perf,3,127,2147483648,355.57
all_reduce_perf,3,134,2147483648,356.08
all_reduce_perf,3,135,2147483648,355.56
all_reduce_perf,3,136,2147483648,356.29
all_reduce_perf,3,137,2147483648,355.83
all_reduce_perf,3,145,2147483648,355.28
all_reduce_perf,3,146,2147483648,355.40
all_reduce_perf,3,147,2147483648,356.66
all_reduce_perf,3,156,2147483648,355.72
all_reduce_perf,3,157,2147483648,355.08
all_reduce_perf,3,167,2147483648,355.12
all_reduce_perf,3,234,2147483648,355.02
all_reduce_perf,3,235,2147483648,355.07
all_reduce_perf,3,236,2147483648,356.32
all_reduce_perf,3,237,2147483648,356.10
all_reduce_perf,3,245,2147483648,356.04
all_reduce_perf,3,246,2147483648,355.25
all_reduce_perf,3,247,2147483648,354.85
all_reduce_perf,3,256,2147483648,355.47
all_reduce_perf,3,257,2147483648,355.72
all_reduce_perf,3,267,2147483648,354.85
all_reduce_perf,3,345,2147483648,356.09
all_reduce_perf,3,346,2147483648,354.97
all_reduce_perf,3,347,2147483648,355.81
all_reduce_perf,3,356,2147483648,355.41
all_reduce_perf,3,357,2147483648,355.79
all_reduce_perf,3,367,2147483648,356.49
all_reduce_perf,3,456,2147483648,355.59
all_reduce_perf,3,457,2147483648,356.19
all_reduce_perf,3,467,2147483648,355.95
all_reduce_perf,3,567,2147483648,356.40
all_reduce_perf,4,0123,2147483648,360.49
all_reduce_perf,4,0124,2147483648,359.28
all_reduce_perf,4,0125,2147483648,360.05
all_reduce_perf,4,0126,2147483648,360.29
all_reduce_perf,4,0127,2147483648,360.50
all_reduce_perf,4,0134,2147483648,360.37
all_reduce_perf,4,0135,2147483648,361.08
all_reduce_perf,4,0136,2147483648,360.36
all_reduce_perf,4,0137,2147483648,361.99
all_reduce_perf,4,0145,2147483648,360.54
all_reduce_perf,4,0146,2147483648,360.12
all_reduce_perf,4,0147,2147483648,360.22
all_reduce_perf,4,0156,2147483648,361.72
all_reduce_perf,4,0157,2147483648,360.49
all_reduce_perf,4,0167,2147483648,360.22
all_reduce_perf,4,0234,2147483648,360.54
all_reduce_perf,4,0235,2147483648,360.65
all_reduce_perf,4,0236,2147483648,361.70
